央视频道,#genre#
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1880&tk=f6cc1e0a0e1a
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6999&tk=f6cc1e0a0e1a
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1229&tk=f6cc1e0a0e1a
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1669&tk=f6cc1e0a0e1a
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6372&tk=f6cc1e0a0e1a
CCTV-5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8741&tk=f6cc1e0a0e1a
CCTV-6,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3763&tk=f6cc1e0a0e1a
CCTV-7,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3438&tk=f6cc1e0a0e1a
CCTV-8,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0822&tk=f6cc1e0a0e1a
CCTV-9,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1383&tk=f6cc1e0a0e1a
CCTV-10,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9453&tk=f6cc1e0a0e1a
CCTV-11,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2249&tk=f6cc1e0a0e1a
CCTV-12,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8105&tk=f6cc1e0a0e1a
CCTV-13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1820&tk=f6cc1e0a0e1a
CCTV-14,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7970&tk=f6cc1e0a0e1a
CCTV-15,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4496&tk=f6cc1e0a0e1a
CCTV-16,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0356&tk=f6cc1e0a0e1a
CCTV-17,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0817&tk=f6cc1e0a0e1a

卫视频道,#genre#
广东卫视,http://tvpull.careryun.com/tv/gdws.m3u8
东南卫视,http://tvpull.careryun.com/tv/dnws.m3u8
安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8
辽宁卫视,http://tvpull.careryun.com/tv/lnws.m3u8
江西卫视,http://tvpull.careryun.com/tv/jxws.m3u8
河北卫视,http://tvpull.careryun.com/tv/cn_hbws.m3u8
贵州卫视,http://tvpull.careryun.com/tv/gzws.m3u8
江苏卫视,hhttp://tvpull.careryun.com/tv/jsws.m3u8
东方卫视,http://tvpull.careryun.com/tv/dfws.m3u8
浙江卫视,http://tvpull.careryun.com/tv/cn_zjws.m3u8
北京卫视,http://tvpull.careryun.com/tv/cn_bjws.m3u8
天津卫视,http://tvpull.careryun.com/tv/cn_tjws.m3u8
深圳卫视,http://tvpull.careryun.com/tv/cn_szws.m3u8
湖北卫视,http://tvpull.careryun.com/tv/hbws.m3u8
山东卫视,http://tvpull.careryun.com/tv/sdws.m3u8
黑龙江卫视,http://tvpull.careryun.com/tv/cn_hljws.m3u8
吉林卫视,http://tvpull.careryun.com/tv/jlws.m3u8
河南卫视,http://tvpull.careryun.com/tv/hnws.m3u8
海南卫视,http://tvpull.careryun.com/tv/hbws.m3u8
四川卫视,http://tvpull.careryun.com/tv/scws.m3u8
重庆卫视,http://tvpull.careryun.com/tv/cqws.m3u8
甘肃卫视,http://tvpull.careryun.com/tv/cn_gsws.m3u8
青海卫视,http://tvpull.careryun.com/tv/qhws.m3u8
