央视频道,#genre#
CCTV1,http://tvpull.careryun.com/tv/cctv1.m3u8
CCTV2,http://tvpull.careryun.com/tv/cctv2.m3u8
CCTV3,http://tvpull.careryun.com/tv/cctv3.m3u8
CCTV4,http://tvpull.careryun.com/tv/cctv4.m3u8
CCTV5,http://tvpull.careryun.com/tv/cctv5.m3u8
CCTV6,http://tvpull.careryun.com/tv/cctv6.m3u8
CCTV7,http://tvpull.careryun.com/tv/cctv7.m3u8
CCTV8,http://tvpull.careryun.com/tv/cctv8.m3u8
CCTV9,http://tvpull.careryun.com/tv/cctv9.m3u8
CCTV10,http://tvpull.careryun.com/tv/cctv10.m3u8
CCTV12,http://tvpull.careryun.com/tv/cctv12.m3u8
CCTV13,http://tvpull.careryun.com/tv/cctv13.m3u8
CCTV14,http://tvpull.careryun.com/tv/cctv14.m3u8
CCTV16,http://tvpull.careryun.com/tv/cctv16.m3u8
CCTV17,http://tvpull.careryun.com/tv/cctv17.m3u8

卫视频道,#genre#
广东卫视,http://tvpull.careryun.com/tv/gdws.m3u8
东南卫视,http://tvpull.careryun.com/tv/dnws.m3u8
安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8
辽宁卫视,http://tvpull.careryun.com/tv/lnws.m3u8
江西卫视,http://tvpull.careryun.com/tv/jxws.m3u8
河北卫视,http://tvpull.careryun.com/tv/cn_hbws.m3u8
贵州卫视,http://tvpull.careryun.com/tv/gzws.m3u8
江苏卫视,hhttp://tvpull.careryun.com/tv/jsws.m3u8
东方卫视,http://tvpull.careryun.com/tv/dfws.m3u8
浙江卫视,http://tvpull.careryun.com/tv/cn_zjws.m3u8
北京卫视,http://tvpull.careryun.com/tv/cn_bjws.m3u8
天津卫视,http://tvpull.careryun.com/tv/cn_tjws.m3u8
深圳卫视,http://tvpull.careryun.com/tv/cn_szws.m3u8
湖北卫视,http://tvpull.careryun.com/tv/hbws.m3u8
山东卫视,http://tvpull.careryun.com/tv/sdws.m3u8
黑龙江卫视,http://tvpull.careryun.com/tv/cn_hljws.m3u8
吉林卫视,http://tvpull.careryun.com/tv/jlws.m3u8
河南卫视,http://tvpull.careryun.com/tv/hnws.m3u8
海南卫视,http://tvpull.careryun.com/tv/hbws.m3u8
四川卫视,http://tvpull.careryun.com/tv/scws.m3u8
重庆卫视,http://tvpull.careryun.com/tv/cqws.m3u8
甘肃卫视,http://tvpull.careryun.com/tv/cn_gsws.m3u8
青海卫视,http://tvpull.careryun.com/tv/qhws.m3u8

湖南频道,#genre#
湖南卫视HD,http://113.240.157.93:8888/udp/239.76.253.101:9000
湖南国际HD,http://113.240.157.93:8888/udp/239.76.253.102:9000
湖南经视HD,http://113.240.157.93:8888/udp/239.76.253.103:9000
湖南都市HD,http://113.240.157.93:8888/udp/239.76.253.104:9000
湖南娱乐HD,http://113.240.157.93:8888/udp/239.76.253.105:9000
湖南电影HD,http://113.240.157.93:8888/udp/239.76.253.106:9000
湖南电视剧HD,http://113.240.157.93:8888/udp/239.76.253.108:9000
金鹰卡通HD,http://113.240.157.93:8888/udp/239.76.253.107:9000
湖南公共HD,http://113.240.157.93:8888/udp/239.76.253.109:9000
金鹰纪实HD,http://113.240.157.93:8888/udp/239.76.253.110:9000
长沙新闻HD,http://113.240.157.93:8888/udp/239.76.253.121:9000
长沙政法HD,http://113.240.157.93:8888/udp/239.76.253.122:9000
